,cStatoMD,cConteaMD,nSitMD,dateMD,O3meanMD
335,24.0,5.0,3001.0,2008-12-21,0.018417
336,24.0,5.0,3001.0,2008-12-22,0.019292
337,24.0,5.0,3001.0,2008-12-23,0.011417
338,24.0,5.0,3001.0,2008-12-24,0.013292
339,24.0,5.0,3001.0,2008-12-25,0.022042
340,24.0,5.0,3001.0,2008-12-26,0.009125
341,24.0,5.0,3001.0,2008-12-27,0.004375
342,24.0,5.0,3001.0,2008-12-28,0.022667
343,24.0,5.0,3001.0,2008-12-29,0.011056
344,24.0,5.0,3001.0,2008-12-30,0.021292
345,24.0,5.0,3001.0,2008-12-31,0.022632
346,24.0,33.0,30.0,2008-02-01,0.003385
347,24.0,33.0,30.0,2008-02-02,0.007
348,24.0,33.0,30.0,2008-02-03,0.009042
349,24.0,33.0,30.0,2008-02-04,0.005125
350,24.0,33.0,30.0,2008-02-05,0.000958
351,24.0,33.0,30.0,2008-02-06,0.016542
352,24.0,33.0,30.0,2008-02-07,0.011917
353,24.0,33.0,30.0,2008-02-08,0.0055
354,24.0,33.0,30.0,2008-02-09,0.01275
355,24.0,33.0,30.0,2008-02-10,0.025333
356,24.0,33.0,30.0,2008-02-11,0.01475
357,24.0,33.0,30.0,2008-02-12,0.006667
358,24.0,33.0,30.0,2008-02-13,0.00725
359,24.0,33.0,30.0,2008-02-14,0.01425
360,24.0,33.0,30.0,2008-02-15,0.011208
361,24.0,33.0,30.0,2008-02-16,0.018708
362,24.0,33.0,30.0,2008-02-17,0.02375
363,24.0,33.0,30.0,2008-02-18,0.021333
364,24.0,33.0,30.0,2008-02-19,0.021625
365,24.0,33.0,30.0,2008-02-20,0.010667
366,24.0,33.0,30.0,2008-02-21,0.020292
367,24.0,33.0,30.0,2008-02-22,0.008542
368,24.0,33.0,30.0,2008-02-23,0.004708
369,24.0,33.0,30.0,2008-02-24,0.020875
370,24.0,33.0,30.0,2008-02-25,0.01275
371,24.0,33.0,30.0,2008-02-26,0.007458
372,24.0,33.0,30.0,2008-02-27,0.020292
373,24.0,33.0,30.0,2008-02-28,0.017292
374,24.0,33.0,30.0,2008-02-29,0.021958
375,24.0,33.0,30.0,2008-03-01,0.028708
376,24.0,33.0,30.0,2008-03-02,0.023625
377,24.0,33.0,30.0,2008-03-03,0.033958
378,24.0,33.0,30.0,2008-03-04,0.03575
379,24.0,33.0,30.0,2008-03-05,0.021958
380,24.0,33.0,30.0,2008-03-06,0.013083
381,24.0,33.0,30.0,2008-03-07,0.011833
382,24.0,33.0,30.0,2008-03-08,0.016167
383,24.0,33.0,30.0,2008-03-09,0.024167
384,24.0,33.0,30.0,2008-03-10,0.018667
385,24.0,33.0,30.0,2008-03-11,0.022917
386,24.0,33.0,30.0,2008-03-12,0.022529
387,24.0,33.0,30.0,2008-03-13,0.023458
388,24.0,33.0,30.0,2008-03-14,0.030375
389,24.0,33.0,30.0,2008-03-15,0.035667
390,24.0,33.0,30.0,2008-03-16,0.028917
391,24.0,33.0,30.0,2008-03-17,0.023417
392,24.0,33.0,30.0,2008-03-18,0.027917
393,24.0,33.0,30.0,2008-03-19,0.023958
394,24.0,33.0,30.0,2008-03-20,0.029458
395,24.0,33.0,30.0,2008-03-21,0.023542
396,24.0,33.0,30.0,2008-03-22,0.025042
397,24.0,33.0,30.0,2008-03-23,0.025625
398,24.0,33.0,30.0,2008-03-24,0.0235
399,24.0,33.0,30.0,2008-03-25,0.03375
400,24.0,33.0,30.0,2008-03-26,0.030875
401,24.0,33.0,30.0,2008-03-27,0.015292
402,24.0,33.0,30.0,2008-03-28,0.024833
403,24.0,33.0,30.0,2008-03-29,0.030292
404,24.0,33.0,30.0,2008-03-30,0.031708
405,24.0,33.0,30.0,2008-03-31,0.008208
406,24.0,33.0,30.0,2008-04-01,0.023833
407,24.0,33.0,30.0,2008-04-02,0.029542
408,24.0,33.0,30.0,2008-04-03,0.025833
409,24.0,33.0,30.0,2008-04-04,0.012375
410,24.0,33.0,30.0,2008-04-05,0.030042
411,24.0,33.0,30.0,2008-04-06,0.026167
412,24.0,33.0,30.0,2008-04-07,0.02875
413,24.0,33.0,30.0,2008-04-08,0.015583
414,24.0,33.0,30.0,2008-04-09,0.018083
415,24.0,33.0,30.0,2008-04-10,0.026833
416,24.0,33.0,30.0,2008-04-11,0.030583
417,24.0,33.0,30.0,2008-04-12,0.033042
418,24.0,33.0,30.0,2008-04-13,0.02625
419,24.0,33.0,30.0,2008-04-14,0.028542
420,24.0,33.0,30.0,2008-04-15,0.028125
421,24.0,33.0,30.0,2008-04-16,0.032458
422,24.0,33.0,30.0,2008-04-17,0.033583
423,24.0,33.0,30.0,2008-04-18,0.043625
424,24.0,33.0,30.0,2008-04-19,0.052083
425,24.0,33.0,30.0,2008-04-20,0.035792
426,24.0,33.0,30.0,2008-04-21,0.0295
427,24.0,33.0,30.0,2008-04-22,0.031042
428,24.0,33.0,30.0,2008-04-23,0.024583
429,24.0,33.0,30.0,2008-04-24,0.031833
430,24.0,33.0,30.0,2008-04-25,0.035958
431,24.0,33.0,30.0,2008-04-26,0.038958
432,24.0,33.0,30.0,2008-04-27,0.027833
433,24.0,33.0,30.0,2008-04-28,0.013792
434,24.0,33.0,30.0,2008-04-29,0.03425
435,24.0,33.0,30.0,2008-04-30,0.027417
436,24.0,33.0,30.0,2008-05-01,0.028
437,24.0,33.0,30.0,2008-05-02,0.042167
438,24.0,33.0,30.0,2008-05-03,0.036792
439,24.0,33.0,30.0,2008-05-04,0.031625
440,24.0,33.0,30.0,2008-05-05,0.030042
441,24.0,33.0,30.0,2008-05-06,0.034917
442,24.0,33.0,30.0,2008-05-07,0.049667
443,24.0,33.0,30.0,2008-05-08,0.027292
444,24.0,33.0,30.0,2008-05-09,0.015208
445,24.0,33.0,30.0,2008-05-10,0.019292
446,24.0,33.0,30.0,2008-05-11,0.028167
447,24.0,33.0,30.0,2008-05-12,0.027625
448,24.0,33.0,30.0,2008-05-13,0.023625
449,24.0,33.0,30.0,2008-05-14,0.028208
450,24.0,33.0,30.0,2008-05-15,0.037042
451,24.0,33.0,30.0,2008-05-16,0.032792
452,24.0,33.0,30.0,2008-05-17,0.04475
453,24.0,33.0,30.0,2008-05-18,0.027625
454,24.0,33.0,30.0,2008-05-19,0.025167
455,24.0,33.0,30.0,2008-05-20,0.016167
456,24.0,33.0,30.0,2008-05-21,0.027
457,24.0,33.0,30.0,2008-05-22,0.022833
458,24.0,33.0,30.0,2008-05-23,0.023083
459,24.0,5.0,3001.0,2009-01-01,0.023458
460,24.0,5.0,3001.0,2009-01-02,0.012292
461,24.0,5.0,3001.0,2009-01-03,0.012792
462,24.0,5.0,3001.0,2009-01-04,0.006833
463,24.0,5.0,3001.0,2009-01-05,0.010267
464,24.0,5.0,3001.0,2009-01-06,0.012889
465,24.0,5.0,3001.0,2009-01-07,0.005375
466,24.0,5.0,3001.0,2009-01-08,0.020292
467,24.0,5.0,3001.0,2009-01-09,0.015208
468,24.0,5.0,3001.0,2009-01-10,0.010542
469,24.0,5.0,3001.0,2009-01-11,0.018125
470,24.0,5.0,3001.0,2009-01-12,0.010167
471,24.0,5.0,3001.0,2009-01-13,0.008583
472,24.0,5.0,3001.0,2009-01-14,0.022417
473,24.0,5.0,3001.0,2009-01-15,0.017708
474,24.0,5.0,3001.0,2009-01-16,0.021042
475,24.0,5.0,3001.0,2009-01-17,0.020125
476,24.0,5.0,3001.0,2009-01-18,0.014833
477,24.0,5.0,3001.0,2009-02-12,0.03775
478,24.0,5.0,3001.0,2009-02-13,0.02575
479,24.0,5.0,3001.0,2009-02-14,0.016667
480,24.0,5.0,3001.0,2009-02-15,0.029125
481,24.0,5.0,3001.0,2009-02-16,0.024625
482,24.0,5.0,3001.0,2009-02-17,0.017667
483,24.0,5.0,3001.0,2009-02-18,0.0185
484,24.0,5.0,3001.0,2009-02-19,0.022333
485,24.0,5.0,3001.0,2009-02-20,0.026875
486,24.0,5.0,3001.0,2009-02-21,0.027333
487,24.0,5.0,3001.0,2009-02-22,0.033542
488,24.0,5.0,3001.0,2009-02-23,0.036458
489,24.0,5.0,3001.0,2009-03-13,0.024292
490,24.0,5.0,3001.0,2009-03-14,0.02275
491,24.0,5.0,3001.0,2009-03-15,0.019667
492,24.0,5.0,3001.0,2009-03-16,0.023
493,24.0,5.0,3001.0,2009-03-17,0.014063
494,24.0,5.0,3001.0,2009-03-18,0.0215
495,24.0,5.0,3001.0,2009-03-19,0.021375
