,cStatoPen,cConteaPen,nSitPen,datePen,O3meanPen
373,42.0,11.0,11.0,2008-03-31,0.032
374,42.0,11.0,11.0,2008-04-01,0.032708
375,42.0,11.0,11.0,2008-04-02,0.033875
376,42.0,11.0,11.0,2008-04-03,0.032875
377,42.0,11.0,11.0,2008-04-04,0.015042
378,42.0,11.0,11.0,2008-04-05,0.032917
379,42.0,11.0,11.0,2008-04-06,0.034667
380,42.0,11.0,11.0,2008-04-07,0.032125
381,42.0,11.0,11.0,2008-04-08,0.031458
382,42.0,11.0,11.0,2008-04-09,0.033333
383,42.0,11.0,11.0,2008-04-11,0.028833
384,42.0,11.0,11.0,2008-04-12,0.037333
385,42.0,11.0,11.0,2008-04-13,0.032292
386,42.0,11.0,11.0,2008-04-14,0.0345
387,42.0,11.0,11.0,2008-04-15,0.025958
388,42.0,11.0,11.0,2008-04-16,0.027417
389,42.0,11.0,11.0,2008-04-17,0.027583
390,42.0,11.0,11.0,2008-04-18,0.035375
391,42.0,11.0,11.0,2008-04-19,0.056333
392,42.0,11.0,11.0,2008-04-20,0.042875
393,42.0,11.0,11.0,2008-04-21,0.037542
394,42.0,11.0,11.0,2008-04-22,0.03275
395,42.0,11.0,11.0,2008-04-23,0.028667
396,42.0,11.0,11.0,2008-04-24,0.034958
397,42.0,11.0,11.0,2008-04-25,0.04125
398,42.0,11.0,11.0,2008-04-26,0.041292
399,42.0,11.0,11.0,2008-04-27,0.0415
400,42.0,11.0,11.0,2008-04-28,0.0235
401,42.0,11.0,11.0,2008-04-29,0.03275
402,42.0,11.0,11.0,2008-04-30,0.029
403,42.0,11.0,11.0,2008-05-01,0.033833
404,42.0,11.0,11.0,2008-05-02,0.027292
405,42.0,11.0,11.0,2008-05-03,0.035208
406,42.0,11.0,11.0,2008-05-04,0.024875
407,42.0,11.0,11.0,2008-05-05,0.027667
408,42.0,11.0,11.0,2008-05-06,0.027208
409,42.0,11.0,11.0,2008-05-07,0.051417
410,42.0,11.0,11.0,2008-05-08,0.034833
411,42.0,11.0,11.0,2008-05-09,0.023792
412,42.0,11.0,11.0,2008-05-10,0.018042
413,42.0,11.0,11.0,2008-05-11,0.0345
414,42.0,11.0,11.0,2008-05-12,0.027208
415,42.0,11.0,11.0,2008-05-13,0.024042
416,42.0,11.0,11.0,2008-05-14,0.031917
417,42.0,11.0,11.0,2008-05-15,0.033125
418,42.0,11.0,11.0,2008-05-16,0.024625
419,42.0,11.0,11.0,2008-05-17,0.039042
420,42.0,11.0,11.0,2008-05-18,0.032375
421,42.0,11.0,11.0,2008-05-19,0.026042
422,42.0,11.0,11.0,2008-05-20,0.008375
423,42.0,11.0,11.0,2008-05-21,0.02575
424,42.0,11.0,11.0,2008-05-22,0.017333
425,42.0,11.0,11.0,2008-05-23,0.025083
426,42.0,11.0,11.0,2008-05-24,0.026208
427,42.0,11.0,11.0,2008-05-25,0.0305
428,42.0,11.0,11.0,2008-05-26,0.049
429,42.0,11.0,11.0,2008-05-27,0.035042
430,42.0,11.0,11.0,2008-05-28,0.027083
431,42.0,11.0,11.0,2008-05-29,0.026083
432,42.0,11.0,11.0,2008-05-30,0.051375
433,42.0,11.0,11.0,2008-05-31,0.033875
434,42.0,11.0,11.0,2008-06-01,0.042458
435,42.0,11.0,11.0,2008-06-02,0.03125
436,42.0,11.0,11.0,2008-06-03,0.04375
437,42.0,11.0,11.0,2008-06-04,0.021125
438,42.0,11.0,11.0,2008-06-05,0.038375
439,42.0,11.0,11.0,2008-06-06,0.04075
440,42.0,11.0,11.0,2008-06-07,0.033167
441,42.0,11.0,11.0,2008-06-08,0.030583
442,42.0,11.0,11.0,2008-06-09,0.033792
443,42.0,11.0,11.0,2008-06-10,0.044125
444,42.0,11.0,11.0,2008-06-11,0.036708
445,42.0,11.0,11.0,2008-06-12,0.038167
446,42.0,11.0,11.0,2008-06-12,0.039083
447,42.0,11.0,11.0,2008-06-13,0.037571
448,42.0,11.0,11.0,2008-06-13,0.055333
449,42.0,11.0,11.0,2008-06-14,0.042667
450,42.0,11.0,11.0,2008-06-15,0.029167
451,42.0,11.0,11.0,2008-06-16,0.035042
452,42.0,11.0,11.0,2008-06-17,0.024042
453,42.0,11.0,11.0,2008-06-18,0.023958
